Year,Industry Sector,Number of Businesses,Employment,Revenue (PHP Millions),Growth Rate (%)
2000,Wholesale & Retail Trade,16795,117565,3.19E+11,5.98
2000,Food & Beverage Services,12964,90748,1.43E+11,1.69
2000,Information & Communication,5426,27130,65112000000,0.01
2000,Real Estate & Rental Activities,17023,85115,1.70E+11,-4.15
2000,Manufacturing,3433,20598,30897000000,4.26
2000,Transportation & Storage,7396,44376,96148000000,-0.63
2000,Financial & Insurance Activities,19942,79768,3.19E+11,9.61
2000,Education,1189,9512,22591000000,4.28
2000,Health & Social Work,2899,26091,23192000000,3.89
2000,Accommodation & Hospitality,12394,86758,86758000000,5.2
2001,Wholesale & Retail Trade,15502,62008,1.24E+11,9.13
2001,Food & Beverage Services,11253,45012,1.58E+11,-0.43
2001,Information & Communication,3612,14448,28896000000,-1.38
2001,Real Estate & Rental Activities,16787,117509,2.01E+11,-4.48
2001,Manufacturing,15541,46623,1.24E+11,-2.27
2001,Transportation & Storage,2021,16168,20210000000,3.2
2001,Financial & Insurance Activities,8989,62923,1.71E+11,7.63
2001,Education,6675,26700,93450000000,8.42
2001,Health & Social Work,12534,100272,1.38E+11,2.81
2001,Accommodation & Hospitality,9529,85761,85761000000,3.8
2002,Wholesale & Retail Trade,7331,43986,1.25E+11,-2.89
2002,Food & Beverage Services,19446,136122,97230000000,-4.77
2002,Information & Communication,3568,10704,57088000000,-0.6
2002,Real Estate & Rental Activities,16422,82110,1.15E+11,5.6
2002,Manufacturing,14986,74930,74930000000,4.09
2002,Transportation & Storage,4561,41049,63854000000,-3.26
2002,Financial & Insurance Activities,9392,56352,56352000000,-3.57
2002,Education,3454,27632,41448000000,4.99
2002,Health & Social Work,11965,59825,83755000000,2.08
2002,Accommodation & Hospitality,15948,143532,2.87E+11,7.73
2003,Wholesale & Retail Trade,18412,73648,2.03E+11,6.56
2003,Food & Beverage Services,1206,10854,16884000000,-4.62
2003,Information & Communication,18868,94340,3.58E+11,8.44
2003,Real Estate & Rental Activities,9755,68285,78040000000,8.61
2003,Manufacturing,8574,77166,1.46E+11,3.1
2003,Transportation & Storage,2059,14413,22649000000,-0.65
2003,Financial & Insurance Activities,11817,47268,2.01E+11,-0.57
2003,Education,12252,98016,1.96E+11,7.06
2003,Health & Social Work,4627,27762,83286000000,8.25
2003,Accommodation & Hospitality,19047,76188,2.10E+11,8.44
2004,Wholesale & Retail Trade,12494,99952,62470000000,-0.92
2004,Food & Beverage Services,2306,18448,29978000000,7.27
2004,Information & Communication,10474,94266,1.05E+11,2.66
2004,Real Estate & Rental Activities,4748,14244,33236000000,-0.96
2004,Manufacturing,1663,14967,24945000000,-0.15
2004,Transportation & Storage,18879,56637,1.51E+11,0.45
2004,Financial & Insurance Activities,14808,59232,1.18E+11,-1.3
2004,Education,12649,63245,63245000000,-2.78
2004,Health & Social Work,18082,54246,1.08E+11,2.54
2004,Accommodation & Hospitality,14877,133893,1.34E+11,0.18
2005,Wholesale & Retail Trade,14949,59796,1.35E+11,2.34
2005,Food & Beverage Services,6791,54328,74701000000,5.08
2005,Information & Communication,1202,6010,6010000000,5.92
2005,Real Estate & Rental Activities,3327,23289,26616000000,9.75
2005,Manufacturing,2930,26370,14650000000,-2.74
2005,Transportation & Storage,12589,88123,88123000000,3.86
2005,Financial & Insurance Activities,15243,76215,2.13E+11,2.68
2005,Education,9338,56028,1.03E+11,-2.38
2005,Health & Social Work,19343,174087,1.16E+11,7.57
2005,Accommodation & Hospitality,2802,16812,36426000000,-3.3
2006,Wholesale & Retail Trade,15486,139374,2.79E+11,5.44
2006,Food & Beverage Services,17646,105876,2.47E+11,9.73
2006,Information & Communication,17371,104226,86855000000,-1.37
2006,Real Estate & Rental Activities,6423,51384,1.03E+11,3.37
2006,Manufacturing,8158,24474,1.06E+11,0.24
2006,Transportation & Storage,16151,80755,1.29E+11,8.31
2006,Financial & Insurance Activities,13183,79098,1.98E+11,9.03
2006,Education,6539,52312,78468000000,4.1
2006,Health & Social Work,16586,132688,2.16E+11,4.95
2006,Accommodation & Hospitality,15172,60688,2.73E+11,3.23
2007,Wholesale & Retail Trade,3869,19345,65773000000,-1.64
2007,Food & Beverage Services,6699,20097,1.21E+11,-0.12
2007,Information & Communication,4987,44883,34909000000,4.86
2007,Real Estate & Rental Activities,12296,73776,1.84E+11,0.52
2007,Manufacturing,18429,147432,3.32E+11,9.6
2007,Transportation & Storage,4436,22180,44360000000,8.59
2007,Financial & Insurance Activities,17609,123263,3.17E+11,4.68
2007,Education,8022,24066,72198000000,-1.55
2007,Health & Social Work,10007,50035,80056000000,-4.64
2007,Accommodation & Hospitality,12312,36936,1.97E+11,9.11
2008,Wholesale & Retail Trade,11716,93728,1.05E+11,8.25
2008,Food & Beverage Services,2060,14420,10300000000,3.29
2008,Information & Communication,17990,89950,2.88E+11,7.8
2008,Real Estate & Rental Activities,1190,8330,10710000000,-2.14
2008,Manufacturing,18568,92840,1.11E+11,3.35
2008,Transportation & Storage,1569,7845,18828000000,-3.94
2008,Financial & Insurance Activities,13913,125217,1.39E+11,0.38
2008,Education,17538,70152,1.05E+11,-0.16
2008,Health & Social Work,9096,27288,1.36E+11,5.63
2008,Accommodation & Hospitality,8206,57442,1.15E+11,7.14
2009,Wholesale & Retail Trade,6986,27944,90818000000,4.17
2009,Food & Beverage Services,13323,93261,1.07E+11,4.75
2009,Information & Communication,7655,61240,1.38E+11,8.35
2009,Real Estate & Rental Activities,14403,57612,86418000000,1.58
2009,Manufacturing,1853,9265,24089000000,-2.67
2009,Transportation & Storage,18532,148256,2.59E+11,7.91
2009,Financial & Insurance Activities,10907,43628,1.09E+11,-0.45
2009,Education,16338,98028,1.47E+11,2.83
2009,Health & Social Work,4051,24306,36459000000,1.86
2009,Accommodation & Hospitality,1876,11256,33768000000,3.11
2010,Wholesale & Retail Trade,7966,47796,1.35E+11,9.54
2010,Food & Beverage Services,14417,115336,1.01E+11,6.93
2010,Information & Communication,18214,91070,2.91E+11,6.16
2010,Real Estate & Rental Activities,9308,74464,1.02E+11,1.42
2010,Manufacturing,2931,20517,14655000000,-2.4
2010,Transportation & Storage,17896,161064,1.07E+11,-1.4
2010,Financial & Insurance Activities,6237,18711,74844000000,9.02
2010,Education,14184,99288,1.56E+11,4.86
2010,Health & Social Work,17964,143712,3.05E+11,1.29
2010,Accommodation & Hospitality,2679,13395,24111000000,-3.2
2011,Wholesale & Retail Trade,10435,73045,1.98E+11,-4.39
2011,Food & Beverage Services,14245,85470,1.28E+11,2.11
2011,Information & Communication,11457,45828,1.03E+11,2.1
2011,Real Estate & Rental Activities,5452,49068,76328000000,4.24
2011,Manufacturing,3849,23094,73131000000,-4.77
2011,Transportation & Storage,12922,51688,64610000000,3.09
2011,Financial & Insurance Activities,17364,104184,2.08E+11,9.16
2011,Education,17347,86735,1.39E+11,3.63
2011,Health & Social Work,7833,39165,1.25E+11,-3.07
2011,Accommodation & Hospitality,6052,30260,90780000000,9.12
2012,Wholesale & Retail Trade,9002,27006,45010000000,4.77
2012,Food & Beverage Services,18450,110700,3.14E+11,-3.96
2012,Information & Communication,6726,53808,40356000000,-4.42
2012,Real Estate & Rental Activities,3082,27738,15410000000,4.84
2012,Manufacturing,17281,69124,2.42E+11,0.11
2012,Transportation & Storage,9808,88272,78464000000,5.39
2012,Financial & Insurance Activities,6745,47215,1.01E+11,8.16
2012,Education,8587,25761,77283000000,9.51
2012,Health & Social Work,12657,88599,1.65E+11,3.53
2012,Accommodation & Hospitality,17048,85240,1.36E+11,0.58
2013,Wholesale & Retail Trade,3143,28287,56574000000,3.43
2013,Food & Beverage Services,13043,39129,1.43E+11,6.26
2013,Information & Communication,15552,77760,2.02E+11,0.67
2013,Real Estate & Rental Activities,13144,105152,1.05E+11,7.4
2013,Manufacturing,18749,131243,2.81E+11,-3.5
2013,Transportation & Storage,14923,89538,2.54E+11,8.58
2013,Financial & Insurance Activities,5171,15513,56881000000,9.35
2013,Education,6486,45402,58374000000,-0.6
2013,Health & Social Work,12130,84910,97040000000,9.19
2013,Accommodation & Hospitality,2167,6501,23837000000,-3.63
2014,Wholesale & Retail Trade,12174,97392,2.31E+11,-4.16
2014,Food & Beverage Services,6334,44338,95010000000,5.59
2014,Information & Communication,5846,35076,75998000000,6.42
2014,Real Estate & Rental Activities,3539,10617,60163000000,7.58
2014,Manufacturing,14964,59856,1.95E+11,7.33
2014,Transportation & Storage,18924,132468,1.70E+11,-1.5
2014,Financial & Insurance Activities,14807,103649,74035000000,8.21
2014,Education,8494,25482,1.44E+11,6.3
2014,Health & Social Work,4141,24846,78679000000,2.23
2014,Accommodation & Hospitality,6301,56709,94515000000,-1.27
2015,Wholesale & Retail Trade,16485,82425,2.80E+11,-4.83
2015,Food & Beverage Services,10435,83480,1.46E+11,6.11
2015,Information & Communication,14116,127044,1.84E+11,6.16
2015,Real Estate & Rental Activities,7530,52710,1.20E+11,9.43
2015,Manufacturing,2214,13284,11070000000,-3.76
2015,Transportation & Storage,18312,146496,1.65E+11,9.45
2015,Financial & Insurance Activities,4627,32389,78659000000,-4.35
2015,Education,12003,84021,96024000000,3.31
2015,Health & Social Work,14843,44529,89058000000,-2.51
2015,Accommodation & Hospitality,6645,59805,1.26E+11,9.94
2016,Wholesale & Retail Trade,12829,102632,89803000000,8.52
2016,Food & Beverage Services,8114,48684,1.14E+11,9.26
2016,Information & Communication,1667,11669,20004000000,-2.45
2016,Real Estate & Rental Activities,4719,18876,75504000000,3.75
2016,Manufacturing,5964,17892,47712000000,9.79
2016,Transportation & Storage,15837,142533,79185000000,-0.8
2016,Financial & Insurance Activities,3779,26453,64243000000,8.66
2016,Education,13677,54708,95739000000,5.89
2016,Health & Social Work,19222,57666,1.15E+11,-3.76
2016,Accommodation & Hospitality,6124,55116,73488000000,0.65
2017,Wholesale & Retail Trade,3193,28737,15965000000,0.65
2017,Food & Beverage Services,5158,15474,51580000000,7.44
2017,Information & Communication,14772,44316,88632000000,-4.45
2017,Real Estate & Rental Activities,9702,29106,87318000000,-4.15
2017,Manufacturing,13763,41289,1.24E+11,10
2017,Transportation & Storage,6989,34945,62901000000,3.78
2017,Financial & Insurance Activities,4636,32452,64904000000,7.74
2017,Education,14456,101192,2.60E+11,-1.92
2017,Health & Social Work,3048,15240,51816000000,4.09
2017,Accommodation & Hospitality,5544,16632,66528000000,4.27
